"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_hit_by_pitch","b_intent_walk","b_sac_fly","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","bacon","xbacon","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Profar, Jurickson",595777,2025,32,15,16,3,3,0,0,0,3,1,18.8,6.3,".200",".200",".250","0.450","0.000",".250","0","0","0",".132",".157",".211",".165",".190",".025",".224",".162",".250",".168","68.2",4.8,5.4,4.8,18.9,16.7,"7",1,"83.9","0.7",25,0,16.7,"92.007485","90.347284545",12.5,53.3
"Duran, Jarren",680776,2025,28,180,194,46,31,9,4,2,40,10,20.6,5.2,".256",".383",".304","0.687","0.127",".317","3","0","1",".270",".400",".304",".315",".320",".130",".353",".369",".326",".348","73.7",35,19.5,14.9,35.5,27.1,"7.3",4,"92.2","12.1",34.8,7.1,45.4,"102.699363","95.869793929",26.7,51.3
"Torkelson, Spencer",679529,2025,25,146,173,36,15,11,0,10,43,21,24.9,12.1,".247",".527",".347","0.874","0.280",".271","3","1","2",".256",".562",".374",".389",".358",".306",".455",".480",".340",".357","73.1",24.5,16.9,12.6,33.8,25.2,"7.8",2,"91.1","20.4",41.5,14.2,48.1,"101.46086","95.470052547",26.4,45.2
"Sabol, Blake",666165,2025,27,16,18,2,1,1,0,0,7,1,38.9,5.6,".125",".188",".167","0.355","0.063",".200","0","0","1",".161",".195",".159",".220",".227",".034",".217",".327",".200",".309","72",10,10.3,7.5,20.7,15,"7.2",3,"87.8","4",20,10,40,"99.726132","93.863066",31.1,52.9
"Caratini, Victor",605170,2025,31,55,64,14,9,3,0,2,13,6,20.3,9.4,".255",".418",".359","0.777","0.163",".300","2","0","0",".233",".381",".350",".324",".341",".148",".382",".342",".333",".305","71.3",18.2,9.6,8.1,31.3,26.3,"7",1,"87.1","17.4",35.7,9.5,26.2,"97.039951429","92.519975714",19.1,44.7
"Guerrero Jr., Vladimir",665489,2025,26,151,177,43,32,7,0,4,33,23,18.6,13,".285",".411",".379","0.790","0.126",".336","1","3","2",".306",".498",".348",".387",".400",".192",".382",".439",".358",".390","75.8",59,23.1,17.3,36.6,27.3,"7.6",2,"93","8.1",34.2,14.2,51.7,"105.209722167","97.188057",24.1,42.3
"Bride, Jonah",681146,2025,29,68,75,12,12,0,0,0,21,6,28,8,".176",".176",".240","0.416","0.000",".250","0","1","1",".187",".247",".192",".222",".251",".060",".224",".270",".250",".268","68.5",6.1,7.5,6.1,30,24.5,"7.3",6,"87.6","11.8",29.2,2.1,27.1,"96.8898075","92.705957708",23.4,36.5
"Garver, Mitch",641598,2025,34,59,73,12,10,1,0,1,20,13,27.4,17.8,".203",".271",".356","0.627","0.068",".289","1","0","0",".204",".330",".303",".319",".356",".127",".315",".345",".308",".308","72",17.3,14.5,10.2,33.3,23.5,"7.3",1,"92.8","20.4",28.2,7.7,48.7,"100.9465845","95.241855128",28.7,37.8
"Sweeney, Trey",700242,2025,25,126,140,32,25,3,1,3,30,14,21.4,10,".254",".365",".329","0.694","0.111",".312","0","0","0",".241",".376",".313",".308",".317",".135",".354",".348",".333",".317","73.9",33,16.5,12.6,27.3,20.9,"7.5",2,"88.3","5.6",31.3,6.3,37.5,"99.79993875","94.059725263",24.2,51.4
"Espinal, Santiago",669289,2025,30,105,115,32,26,6,0,0,12,10,10.4,8.7,".305",".362",".365","0.727","0.057",".344","0","0","0",".264",".343",".329",".300",".328",".079",".332",".296",".344",".298","68.1",2.5,9.6,8.3,43,36.9,"7.4",3,"86.7","13.2",37.6,1.1,29,"96.535603478","92.296220978",15.8,43.5
